Date,Temp,Sal,Nitrate,Nitrite,Ammonium,DIN,Phosphate,Phytopl,Diatoms,Flag,Phytopl_C,Diatom_C,Flag_C,Analyst
1962-01-02T09:00,4.6,,,,,,,,,,,,,
1962-01-03T09:00,5.1,,,,,,,,,,,,,
1962-01-04T09:00,4.3,,,,,,,,,,,,,
1962-01-05T09:00,5.1,,,,,,,,,,,,,
1962-01-06T09:00,5.2,,,,,,,,,,,,,
1962-01-08T09:00,5.1,,,,,,,,,,,,,
1962-01-09T09:00,5.2,,,,,,,,,,,,,
1962-01-15T10:30,5.1,33.48,7.28,1.52,17.4,,,200,200,0,0.4,0.4,0,Max Gillbricht
1962-01-17T09:40,5.1,33.554,7.78,1.52,11.9,,,200,0,200,0.12,0,0.12,Max Gillbricht
1962-01-18T09:00,5.2,,,,,,,,,,,,,
1962-01-19T10:05,5,33.56,7.85,1.51,11.3,,0.65,,,,,,,
1962-01-22T09:15,5.1,33.446,8.5,1.52,17.6,,0.65,7600,7600,0,2.28,2.28,0,Max Gillbricht
1962-01-24T09:40,4.5,32.861,10.92,1.43,12.6,,0.66,,,,,,,
1962-01-25T09:00,4.4,,,,,,,,,,,,,
1962-01-26T09:55,4.4,32.589,12.14,1.44,11.8,,0.69,,,,,,,
1962-01-27T09:00,4.5,,,,,,,,,,,,,
1962-01-29T09:00,3.5,31.034,18.85,1.62,19.3,,0.75,3200,3200,0,1.1,1.1,0,Max Gillbricht
1962-01-30T09:00,3.2,,,,,,,,,,,,,
1962-01-31T09:05,3.1,31.338,18.21,1.54,16.1,,0.7,400,400,0,0.14,0.14,0,Max Gillbricht
1962-02-06T09:15,4.1,33,11,1.2,10.1,,0.73,,,,,,,
1962-02-08T09:40,4.1,32.571,12.71,1.3,8.2,,0.68,400,400,0,0.42,0.42,0,Max Gillbricht
1962-02-09T09:00,3.7,,,,,,,,,,,,,
1962-02-10T09:15,3.9,31.99,15.42,1.4,11.6,,0.66,1600,1600,0,0.48,0.48,0,Max Gillbricht
1962-02-12T09:15,3.6,30.078,21.42,1.58,17.8,,0.66,,,,,,,
1962-02-15T09:45,3.1,29.538,26.21,1.01,16.8,,0.9,3200,0,3200,0.66,0,0.66,Max Gillbricht
1962-02-19T09:00,3.3,28.898,24.5,2.15,16.1,,0.77,,,,,,,
1962-02-20T09:00,3.5,,,,,,,,,,,,,
1962-02-21T09:10,3.5,29.825,24.57,1.92,14.6,,0.88,7100,7100,0,0.77,0.77,0,Max Gillbricht
1962-02-22T09:00,3.3,,,,,,,,,,,,,
1962-02-23T09:35,2.9,29.579,26.85,1.9,16.3,,0.91,2400,2400,0,0.72,0.72,0,Max Gillbricht
1962-02-28T09:30,2.8,31.283,19.85,1.12,11.3,,0.74,,,,,,,
1962-03-02T09:05,2.8,31.509,18.71,0.94,7.7,,0.68,80000,79600,400,2.79,2.78,0.01,Max Gillbricht
1962-03-03T09:00,2.9,,,,,,,,,,,,,
1962-03-05T09:30,2.9,31.045,17.71,0.77,10,,0.69,1400,1400,0,0.42,0.42,0,Max Gillbricht
1962-03-06T09:00,2.5,,,,,,,,,,,,,
