Date,Temp,Sal,Nitrate,Nitrite,Ammonium,DIN,Phosphate,Silicate,Phytopl,Diatoms,Flag,Phytopl_C,Diatom_C,Flag_C,Analyst
1967-01-02T10:30,5.5,32.056,10.43,1.11,14.2,25.74,0.88,11.2,143080,17680,125400,7.67,3.1,4.57,Rita Colbourn
1967-01-03T09:00,5.4,31.771,,,,,,,,,,,,,
1967-01-04T10:20,4.9,30.95,14.71,1.55,18.2,34.46,1.28,18.7,141700,5680,136020,5.96,1.27,4.7,Rita Colbourn
1967-01-05T09:00,4.2,29.477,,,,,,,,,,,,,
1967-01-06T09:05,3.6,27.683,,,,,,,162360,4720,157640,6.63,1.72,4.91,Rita Colbourn
1967-01-09T08:50,3.9,29.61,20.36,2.04,16.4,38.8,1.23,26.6,163560,3100,160460,5.61,0.83,4.78,Rita Colbourn
1967-01-10T09:00,3.6,28.684,,,,,,,,,,,,,
1967-01-11T09:10,4.1,30.045,21.43,1.78,20.1,43.31,1.14,23.8,119580,3480,116100,4.83,1.25,3.57,Rita Colbourn
1967-01-12T09:00,4.5,30.442,,,,,,,,,,,,,
1967-01-13T08:45,4.7,30.981,18.36,1.56,18.3,38.22,1.01,19.5,143120,4540,138580,5.75,1.4,4.36,Rita Colbourn
1967-01-16T09:10,4.1,29.118,29.43,2.19,19.9,51.52,1.22,30.6,155580,3500,152080,6.92,1.14,5.78,Rita Colbourn
1967-01-17T09:00,3.9,28.437,,,,,,,,,,,,,
1967-01-18T08:45,3.7,28.543,33.14,2.19,19.4,54.73,1.11,33.4,140720,7620,133100,4.53,1.07,3.46,Rita Colbourn
1967-01-19T09:00,4,28.761,,,,,,,,,,,,,
1967-01-20T08:40,3.6,27.009,30.57,1.72,15.6,47.89,1.31,28.9,165480,2980,162500,4.94,1.16,3.78,Rita Colbourn
1967-01-22T09:00,,,29,1.41,19.4,49.81,1.24,5.7,,,,,,,
1967-01-23T08:45,4.1,30.57,,,,,,,105400,1760,103640,3.1,0.47,2.62,Rita Colbourn
1967-01-24T09:00,4.6,31.692,,,,,,,,,,,,,
1967-01-25T09:05,4.5,32.122,18.86,0.32,9.6,28.78,0.77,13.6,78880,3900,74980,2.72,0.81,1.91,Rita Colbourn
1967-01-26T09:00,4.5,32.006,,,,,,,,,,,,,
1967-01-27T08:50,4.4,32.217,13.29,0.22,7.3,20.81,0.91,10.1,139960,5180,134780,4.4,1.22,3.18,Rita Colbourn
1967-01-30T08:55,4.8,32.421,12,0.2,12.5,24.7,0.97,12.2,142680,26140,116540,6.48,3.63,2.85,Rita Colbourn
1967-01-31T09:00,4.8,32.37,,,,,,,,,,,,,
1967-02-01T08:45,4.9,32.591,15.29,0.21,11.5,27,1.01,12.1,126240,3300,122940,3.85,0.93,2.92,Rita Colbourn
1967-02-02T09:00,5,32.521,,,,,,,,,,,,,
1967-02-03T08:55,5.1,32.494,16.07,0.19,8.2,24.46,0.9,12.2,113940,5620,108320,4.17,1.16,3,Rita Colbourn
1967-02-06T08:40,4.6,30.443,17.57,0.4,17.6,35.57,1.12,21.5,125640,3580,122060,4.75,1.15,3.6,Rita Colbourn
1967-02-07T09:00,4.5,30.81,,,,,,,,,,,,,
1967-02-08T08:55,4.5,31.161,14.64,0.24,15.8,30.68,1.04,19.3,89360,4220,85140,3.98,1.14,2.83,Rita Colbourn
1967-02-09T09:00,4.2,29.266,,,,,,,,,,,,,
1967-02-10T08:40,4.6,30.843,14.71,0.28,15.1,30.09,1.03,21.3,127440,3040,124400,4.77,0.83,3.94,Rita Colbourn
1967-02-13T08:40,4.1,30.219,10.93,0.41,15.4,26.74,1,18.9,101540,5940,95600,4.45,1.11,3.34,Rita Colbourn
1967-02-14T09:00,3.9,31.243,,,,,,,,,,,,,
1967-02-15T08:45,3.9,31.519,6.21,0.29,9,15.5,0.91,14.5,89140,6640,82500,3.72,1.51,2.21,Rita Colbourn
1967-02-17T08:30,3.8,32.021,9.21,0.33,15.7,25.24,0.43,14.9,47420,6800,40620,2.5,1.24,1.26,Rita Colbourn
1967-02-20T08:30,3.9,32.383,1.71,0.33,11.7,13.74,0.75,7.9,46740,4300,42440,2.88,0.81,2.07,Rita Colbourn
1967-02-21T09:00,4.4,32.514,,,,,,,,,,,,,
1967-02-22T08:30,4.4,32.606,6.21,0.24,13.5,19.95,0.68,11.5,111280,3900,107380,4.51,0.92,3.58,Rita Colbourn
1967-02-23T09:00,4.6,32.268,,,,,,,,,,,,,
1967-02-24T09:05,4.5,32.618,7.57,0.38,11.3,19.25,1.25,14.7,139040,4880,134160,8.21,2.02,6.18,Rita Colbourn
1967-02-27T08:30,4.5,31.975,10.14,0.43,9.7,20.27,0.86,16.1,52780,8420,44360,5.38,2.48,2.9,Rita Colbourn
1967-02-28T09:00,4.6,32.038,,,,,,,,,,,,,
1967-03-01T08:30,4.5,32.126,10.93,0.26,12.3,23.49,1.6,18.6,119100,4400,114700,7.44,1.55,5.89,Rita Colbourn
1967-03-02T09:00,4.6,31.198,,,,,,,,,,,,,
1967-03-03T08:30,4.4,31.226,14.36,0.56,9.6,24.52,1.47,24.3,164500,13900,150600,10.75,3.44,7.31,Rita Colbourn
1967-03-06T08:35,4.5,30.283,18.07,0.8,15.1,33.97,0.92,25.8,153140,15920,137220,11.54,5.31,6.23,Rita Colbourn
1967-03-07T09:00,4.5,30.203,,,,,,,,,,,,,
1967-03-08T08:40,4.8,29.737,18.29,0.99,12.9,32.18,0.97,,83320,9740,73580,7.96,1.97,6,Rita Colbourn
1967-03-09T09:00,4.8,30.413,,,,,,,,,,,,,
1967-03-10T08:55,5.1,30.978,14.21,0.62,10.9,25.73,1.05,22.9,199100,12400,186700,8.91,2,6.91,Rita Colbourn
1967-03-13T10:30,5,31.496,12.29,0.55,14.8,27.64,1.06,19,122240,9700,112540,6.63,2.35,4.28,Rita Colbourn
1967-03-14T09:00,5.1,30.553,,,,,,,,,,,,,
1967-03-15T09:10,5.1,30.973,14.21,0.76,14.4,29.37,1.05,22.1,126680,10340,116340,7.2,2.24,4.95,Rita Colbourn
1967-03-16T09:00,5,31.245,,,,,,,,,,,,,
1967-03-17T08:30,5,29.818,12.57,0.94,11.7,25.21,1.08,23.5,168040,11700,156340,7.11,2.76,4.35,Rita Colbourn
1967-03-20T09:05,5.2,29.411,28.36,1.17,13.9,43.43,1.28,41.4,145380,13200,132180,7.85,2.79,5.06,Rita Colbourn
1967-03-21T09:00,5.1,28.707,,,,,,,,,,,,,
1967-03-22T08:40,5.4,28.987,25.21,1.45,6.7,33.36,1.03,39.2,158320,9240,149080,5.23,1.39,3.85,Rita Colbourn
1967-03-23T09:00,5.1,29.06,,,,,,,,,,,,,
1967-03-25T09:00,5.6,28.671,,,,,,,,,,,,,
1967-03-28T09:00,5.4,29.303,,,,,,,,,,,,,
1967-03-29T09:00,5.6,29.586,27.14,1.36,14.1,42.6,1,27,218830,40290,178540,12.63,6.54,6.09,Rita Colbourn
1967-03-30T09:00,5.7,29.646,,,,,,,,,,,,,
1967-03-31T08:20,5.6,29.946,23.86,1.31,14.1,39.27,1.22,22.3,157160,30200,126960,9.39,5.75,3.63,Rita Colbourn
1967-04-03T08:30,5.7,30.822,23.21,1,12.4,36.61,1.03,19.5,179880,8380,171500,5.55,1.54,4.01,Rita Colbourn
1967-04-04T09:00,5.7,30.936,,,,,,,,,,,,,
1967-04-05T08:45,6.3,28.896,35.29,1.68,11.9,48.87,1.01,27.2,326300,95620,230680,10.08,3.72,6.36,Rita Colbourn
1967-04-06T09:00,5.9,30.342,,,,,,,,,,,,,
1967-04-07T08:50,5.9,30.117,27.07,1.24,15.1,43.41,0.92,20.6,235210,40360,194850,9.05,2.82,6.23,Rita Colbourn
1967-04-10T08:35,6.2,29.668,31.64,1.32,14.9,47.86,1.02,22.2,217340,55000,162340,12.03,8.07,3.95,Rita Colbourn
1967-04-11T09:00,6.4,30.009,,,,,,,,,,,,,
1967-04-12T08:40,6.6,30.916,24.14,0.89,10.8,35.83,0.7,14.5,316190,25170,291020,11.78,3.77,8.01,Rita Colbourn
1967-04-13T09:00,6.8,30.227,,,,,,,,,,,,,
1967-04-14T09:15,6.8,29.912,33.29,1.16,15.8,50.25,0.95,21.3,255220,19960,235260,16.14,9.2,6.94,Rita Colbourn
1967-04-17T09:35,7.6,29.428,35.5,1.29,15.5,52.29,0.92,22.6,298220,98140,200080,8.84,3.37,5.47,Rita Colbourn
1967-04-18T09:00,6.9,29.665,,,,,,,,,,,,,
1967-04-19T08:50,6.6,29.666,30.07,1.21,14.8,46.08,1.53,22.5,345460,31620,313840,10.92,4.11,6.81,Rita Colbourn
1967-04-20T09:00,6.7,30.009,,,,,,,,,,,,,
1967-04-21T08:00,6.6,30.503,26.29,1.07,10.9,38.26,0.84,15.9,347770,162530,185240,9.72,3.46,6.26,Rita Colbourn
1967-04-24T09:10,6.8,29.262,34.64,1.52,13,49.16,0.85,20.1,242820,85840,156980,12.45,3.13,9.32,Rita Colbourn
1967-04-25T09:00,7.5,26.564,,,,,,,,,,,,,
1967-04-26T08:35,7.9,26.875,47.43,1.93,27.4,76.76,0.99,30.6,689400,486640,202760,43.94,37.19,6.75,Rita Colbourn
1967-04-27T09:00,8.1,26.787,,,,,,,,,,,,,
1967-04-28T09:15,7.7,29.203,2.93,1.44,10,14.37,0.83,22.1,458290,168290,290000,18.96,5.18,13.78,Rita Colbourn
1967-05-02T08:45,8,28.388,42,,12.4,,,20.1,920400,514700,405700,53.41,33.09,20.32,Rita Colbourn
1967-05-03T09:00,8.2,28.947,,,,,,,,,,,,,
1967-05-05T08:55,8.4,28.819,40.64,1.2,11.8,53.64,0.87,16.3,791920,503240,288680,60.78,53.69,7.09,Rita Colbourn
1967-05-08T08:35,8.8,29.912,24.5,1.13,10.9,36.53,0.2,2.4,,,,,,,
1967-05-09T07:55,8.5,30.633,20.14,0.92,8.5,29.56,0.27,2.5,,,,,,,
1967-05-10T08:50,8.8,30.611,21.86,0.65,12.6,35.11,0.21,3,,,,,,,
1967-05-11T08:30,8.9,31.135,20.36,0.92,12.6,33.88,0.27,3,,,,,,,
1967-05-12T08:35,9.9,30.441,,,,,,,794940,626310,168630,127.07,94.51,32.55,Rita Colbourn
1967-05-16T08:55,10.3,29.941,,,,,,,1181670,696400,485270,162.7,145.68,17.03,Rita Colbourn
1967-05-17T09:50,11.3,28.893,30.86,0.97,9.6,41.43,0.38,5.4,,,,,,,
1967-05-18T09:00,10.1,29.277,,,,,,,,,,,,,
1967-05-19T08:50,9,30.031,24.43,0.74,13.5,38.67,0.95,3.8,701720,390120,311600,70.64,59.4,11.24,Rita Colbourn
1967-05-22T08:30,9.8,30.802,8.86,0.67,14.7,24.23,1.04,1.7,875990,355750,520240,50.73,33.14,17.59,Rita Colbourn
1967-05-23T09:00,9.5,31.499,,,,,,,,,,,,,
1967-05-24T09:10,9.6,31.79,10.14,0.48,12.6,23.22,0.47,1.6,379310,165130,214180,41.1,29.99,11.11,Rita Colbourn
1967-05-25T09:00,9.6,31.754,,,,,,,,,,,,,
1967-05-26T09:20,9.7,32.146,10.14,0.44,13.2,23.78,1.32,1.5,478070,112080,365990,98.95,87.87,11.08,Rita Colbourn
1967-05-29T08:45,10.5,32.051,1.29,0.38,6.9,8.57,0.32,1.7,266780,27880,238900,25.88,18.46,7.42,Rita Colbourn
1967-05-30T09:00,10.3,32.326,,,,,,,,,,,,,
1967-05-31T08:40,11.3,30.651,1.14,0.39,5,6.53,0.36,2.8,433400,96940,336460,87.78,74.17,13.61,Rita Colbourn
1967-06-01T09:00,11.2,29.479,,,,,,,,,,,,,
1967-06-02T08:45,11.9,29.798,1.21,0.41,,,0.27,2.5,848370,455170,393200,95.46,83.48,11.99,Rita Colbourn
1967-06-05T08:50,11.3,31.573,1,0.31,,,0.37,2,427520,245800,181720,62.37,52.87,9.51,Rita Colbourn
1967-06-06T09:00,12.3,30.783,,,,,,,,,,,,,
1967-06-07T09:15,12.3,30.909,1.07,0.32,,,0.13,2.2,580160,269540,310620,85.25,66.7,18.55,Rita Colbourn
1967-06-08T09:00,11.8,31.015,,,,,,,,,,,,,
1967-06-09T08:40,11.9,30.371,1.21,0.42,,,0.25,1.9,219740,82440,137300,49.05,42.57,6.48,Rita Colbourn
1967-06-12T08:40,12.8,29.925,1.07,0.38,,,0.29,1.8,166840,40510,126330,84.8,77.59,7.21,Rita Colbourn
1967-06-13T09:00,13.2,29.568,,,,,,,,,,,,,
1967-06-14T08:50,13.1,30.107,1.14,0.33,11.2,12.67,0.29,0.2,179389,33079,146310,35.21,27.81,7.4,Rita Colbourn
1967-06-15T09:00,13.7,29.405,,,,,,,,,,,,,
1967-06-16T08:55,13.8,28.83,1.14,0.4,,,0.2,1.7,313130,99682,213448,82.05,70.11,11.94,Rita Colbourn
1967-06-19T08:30,14.6,28.821,1.21,0.39,,,0.19,3.5,152900,54340,98560,44.86,36.4,8.46,Rita Colbourn
1967-06-20T09:00,14.5,28.798,,,,,,,,,,,,,
1967-06-21T09:00,14.5,29.44,1.29,0.34,,,0.06,2.5,379600,35040,344560,35.93,25.11,10.82,Rita Colbourn
1967-06-22T09:00,13.7,30.168,,,,,,,,,,,,,
1967-06-23T09:15,13.9,30.284,1.21,0.34,,,0.2,2.4,125105,48020,77085,44.39,35.52,8.87,Rita Colbourn
1967-06-26T08:50,13.9,31.22,1.29,0.29,,,0.43,4,133560,21840,111720,23.82,18.68,5.14,Rita Colbourn
1967-06-27T09:00,14.8,29.626,,,,,,,,,,,,,
1967-06-28T09:00,14.7,30.435,1.07,0.26,,,0.25,4.7,226690,47170,179520,35.38,18.09,17.29,Rita Colbourn
1967-06-29T09:00,14.8,31.112,,,,,,,,,,,,,
1967-06-30T08:50,14.6,31.304,1.14,0.27,,,0.21,4.2,104410,3640,100770,10.41,2.99,7.43,Rita Colbourn
1967-07-03T08:55,15.4,29.625,0.36,0.42,14.7,15.48,0.37,1.8,250520,13640,236880,38.08,4.22,33.86,Rita Colbourn
1967-07-04T09:00,14.6,30.377,,,,,,,,,,,,,
1967-07-05T08:30,14.7,30.33,,,,,,,400300,22180,378120,33.15,5.9,27.25,Rita Colbourn
1967-07-06T09:00,15.5,29.012,,,,,,,,,,,,,
1967-07-07T08:50,15.7,29.289,0.71,0.49,14.7,15.9,0.49,1.8,3734480,153760,3580720,143.98,11.52,132.47,Rita Colbourn
1967-07-10T10:05,15.8,30.495,0.71,0.43,14,15.14,0.41,1.2,4824750,97780,4726970,137.89,5.19,132.69,Rita Colbourn
1967-07-11T09:00,15.6,30.089,,,,,,,,,,,,,
1967-07-12T09:10,16.3,29.439,1.29,0.51,12.1,13.9,0.81,5.2,2450360,16300,2434060,192.59,4.93,187.67,Rita Colbourn
1967-07-13T09:00,16.7,28.295,,,,,,,,,,,,,
1967-07-14T09:00,16.5,28.799,0.57,0.69,13.6,14.86,1.91,7.1,1444610,42951,1401660,51.85,6.62,45.23,Rita Colbourn
1967-07-17T08:35,16.6,28.898,0.43,0.71,14.3,15.44,1.11,6.4,1964110,32910,1931200,227.23,5.04,222.19,Rita Colbourn
1967-07-18T09:00,17,29.077,,,,,,,,,,,,,
1967-07-19T08:45,17.4,29.011,0.5,0.64,12.2,13.34,0.45,8.9,3112640,249260,2863380,510.52,23.02,487.5,Rita Colbourn
1967-07-20T09:00,17,29.609,,,,,,,,,,,,,
1967-07-21T08:30,17,29.287,0.5,0.72,13.4,14.62,0.61,9.6,1197080,308540,888540,313.73,37.27,276.46,Rita Colbourn
1967-07-24T09:05,16.9,29.735,0.71,0.74,10.9,12.35,0.76,8.5,1044030,457610,586420,163.21,73.1,90.1,Rita Colbourn
1967-07-25T09:00,16.6,29.911,,,,,,,,,,,,,
1967-07-26T08:50,16.2,30.314,9.14,0.61,15.1,24.85,0.51,7.9,1593970,1041390,552580,172.83,80.59,92.24,Rita Colbourn
1967-07-27T09:00,17.1,29.643,,,,,,,,,,,,,
1967-07-28T08:40,17.6,29.678,5.07,0.54,10,15.61,0.25,3.1,2745530,1862310,883220,301.3,95,206.3,Rita Colbourn
1967-07-31T08:35,17.1,29.744,10.14,0.66,12.7,23.5,0.48,4.6,1189240,880060,309180,231.18,129.23,101.95,Rita Colbourn
1967-08-01T09:00,18.5,28.935,,,,,,,,,,,,,
1967-08-02T08:30,18.1,29.52,6.5,0.53,11.4,18.43,0.32,3.3,1635090,1282280,352810,260.39,125.85,134.55,Rita Colbourn
1967-08-03T09:00,17.1,30.824,,,,,,,,,,,,,
1967-08-04T08:50,17.2,31.185,1.14,0.16,10.4,11.7,0.36,1.7,2097280,1679990,417290,336.42,205.88,130.54,Rita Colbourn
1967-08-07T08:50,16.7,31.271,1.07,0.01,8.1,9.18,0.31,1.4,,,,,,,
1967-08-08T09:00,17.1,31.298,,,,,,,,,,,,,
1967-08-09T09:10,16.9,32.24,0.36,0.11,8.1,8.57,0.32,1.9,1248550,1014980,233570,211.35,174.21,37.14,Rita Colbourn
1967-08-10T09:00,16.6,32.25,,,,,,,,,,,,,
1967-08-11T08:55,16.7,32.299,1,0.01,5.6,6.61,0.01,2.6,520550,249520,271030,103.41,55.18,48.23,Rita Colbourn
1967-08-14T08:40,16.4,32.522,1,0.17,12.8,13.97,0.53,4.1,574729,157409,417320,49.62,27.76,21.86,Rita Colbourn
1967-08-15T09:00,16.4,32.554,,,,,,,,,,,,,
1967-08-16T08:35,16.5,32.467,0.64,0.22,7.2,8.06,0.44,3.3,463318,129038,334280,41.04,23.27,17.77,Rita Colbourn
1967-08-17T09:00,16.4,32.583,,,,,,,,,,,,,
1967-08-18T08:50,16.4,32.66,1,0.21,8.9,10.11,0.03,4,272270,47070,225200,24.44,10.02,14.42,Rita Colbourn
1967-08-21T09:00,16.6,32.446,1.64,0.27,9.9,11.81,0.07,5.3,343530,46430,297100,21.5,10.01,11.5,Rita Colbourn
1967-08-22T09:00,16.7,31.103,,,,,,,,,,,,,
1967-08-23T08:30,16.9,31.805,0.71,0.15,10.9,11.76,0.41,5.3,1517010,1312910,204100,88.59,70.76,17.83,Rita Colbourn
1967-08-24T09:00,17.1,31.299,,,,,,,,,,,,,
1967-08-25T08:30,17.3,31.198,0.21,0.09,7.1,7.4,0.24,1.4,1853180,1505620,347560,119.15,96.71,22.45,Rita Colbourn
1967-08-28T08:25,17.1,31.776,0.36,0.13,4.8,5.29,0.26,1.8,3029910,2370730,659180,176.1,154.97,21.14,Rita Colbourn
1967-08-29T09:00,17.5,30.513,,,,,,,,,,,,,
1967-08-30T08:40,17.2,31.779,1,0.17,9.7,10.87,0.4,2.6,2028680,1598810,429870,127.75,109.52,18.23,Rita Colbourn
1967-08-31T09:00,17.2,31.648,,,,,,,,,,,,,
1967-09-01T08:15,16.9,31.789,0.36,0.21,5.1,5.67,0.38,0.5,1406240,1024460,381780,152.9,132.67,20.23,Rita Colbourn
1967-09-04T08:30,16.7,32.05,0.57,0.11,9.1,9.78,0.51,0.6,841155,565335,275820,46.05,27.21,18.84,Rita Colbourn
1967-09-05T09:00,16.6,32.096,,,,,,,,,,,,,
1967-09-06T09:00,16.4,32.137,0.64,0.11,10.2,10.95,0.57,0.3,519640,302020,217620,31.87,20.1,11.77,Rita Colbourn
1967-09-07T09:00,16.5,32.435,,,,,,,,,,,,,
1967-09-08T09:10,15.9,31.494,1.93,0.13,12.4,14.46,0.51,0.4,291050,129870,161180,35.2,23.98,11.22,Rita Colbourn
1967-09-11T08:50,16.5,32.582,0.57,0.13,9.9,10.6,0.57,0.4,420210,267210,153000,31.72,26.04,5.68,Rita Colbourn
1967-09-12T09:00,16.6,32.496,,,,,,,,,,,,,
1967-09-13T08:45,16.5,32.231,0.93,0.18,7.3,8.41,0.38,0.8,565460,301360,264100,136.45,127.59,8.87,Rita Colbourn
1967-09-14T09:00,16.4,31.819,,,,,,,,,,,,,
1967-09-15T09:00,16.6,32.158,1.21,0.15,9.5,10.86,0.07,1.6,640200,257680,382520,193.07,180.87,12.21,Rita Colbourn
1967-09-18T08:20,16.6,32.274,2,0.16,6.6,8.76,0.48,0.6,449860,303460,146400,32.69,27.78,4.91,Rita Colbourn
1967-09-19T09:00,16.6,32.36,,,,,,,,,,,,,
1967-09-20T08:35,16.5,32.635,1.43,0.13,11.8,13.36,0.55,0.6,393320,309600,83720,42.61,38.8,3.81,Rita Colbourn
1967-09-21T09:00,16.2,32.767,,,,,,,,,,,,,
1967-09-22T08:25,16.2,32.609,2.14,0.21,14.3,16.65,0.93,0.5,213440,52040,161400,11.55,5.82,5.73,Rita Colbourn
1967-09-25T08:25,16.3,32.578,2.07,0.24,14.4,16.71,0.77,0.3,302280,18800,283480,9.69,1.56,8.13,Rita Colbourn
1967-09-26T09:00,16.4,32.631,,,,,,,,,,,,,
1967-09-27T08:25,16.6,32.869,1.29,0.16,13.4,14.85,0.66,1.5,202140,36340,165800,7.61,2.94,4.68,Rita Colbourn
1967-09-28T09:00,16.6,32.911,,,,,,,,,,,,,
1967-09-29T08:30,16.5,32.25,4.5,0.36,12.8,17.66,2.31,2.1,375940,2180,373760,10.5,1.19,9.31,Rita Colbourn
1967-10-02T08:30,16.2,32.82,2.57,0.24,12.9,15.71,0.83,1.7,122060,2960,119100,4.99,1.09,3.9,Rita Colbourn
1967-10-03T09:00,15.9,32.819,,,,,,,,,,,,,
1967-10-04T09:15,15.7,33.085,1.43,0.17,12.6,14.2,0.77,5.7,158780,3960,154820,5.26,1.06,4.2,Rita Colbourn
