Date,Depth_water,Temp,Sal,Depth,Nitrate,Nitrite,Ammonium,DIN,Phosphate,Silicate,Phytopl,Diatoms,Flag,Phytopl_C,Diatom_C,Flag_C,Analyst
1976-01-02T09:20,0.5,6.3,32.257,0.5,12.89,1.3,11.29,25.48,1.58,,8420,6080,2340,5.87,5.6,0.27,Klaus Treutner
1976-01-05T09:45,0.5,5.5,31.706,0.4,,2.02,12.81,,1.35,,9160,8840,320,7.83,7.77,0.06,Klaus Treutner
1976-01-06T09:40,0.5,5.6,31.875,0.4,18.47,1.68,12.87,33.02,1.49,,115470,12080,103390,20.97,13.58,7.4,Klaus Treutner
1976-01-07T09:30,0.5,5.7,31.693,0.8,18.52,1.91,11.81,32.24,1.51,,216710,12440,204270,15.43,6.16,9.27,Klaus Treutner
1976-01-08T09:30,0.5,5.8,31.871,0.4,16.74,1.43,11.98,30.15,1.78,,163120,12280,150840,12.2,6.61,5.59,Klaus Treutner
1976-01-09T09:20,0.5,5.8,31.82,1,18.87,1.85,10.78,31.5,1.41,,360160,9040,351120,17.14,2.43,14.7,Klaus Treutner
1976-01-12T09:15,0.5,5.4,31.24,0.9,20.18,2.69,11.26,34.13,1.38,,160840,9720,151120,9.88,4.08,5.8,Klaus Treutner
1976-01-13T09:40,0.5,4.8,30.174,0.8,28.42,3.27,12.98,44.67,1.38,,113080,12360,100720,9.58,4.91,4.67,Klaus Treutner
1976-01-14T09:20,0.5,5.2,30.49,0.9,26.69,3.2,11.74,41.63,1.51,,108520,7760,100760,10.4,3.21,7.2,Klaus Treutner
1976-01-15T09:10,0.5,5.3,31.085,0.8,21.33,2.47,9.46,33.26,1.33,,10880,9440,1440,4.36,3.92,0.44,Klaus Treutner
1976-01-16T09:20,0.5,4.9,30.5,0.9,24.87,2.94,11.37,39.18,1.22,,9320,8560,760,3.85,3.69,0.16,Klaus Treutner
1976-01-19T09:10,0.5,5.3,31.156,0.5,19.29,2.17,9.58,31.04,1.6,,111720,10200,101520,8.99,6.68,2.31,Klaus Treutner
1976-01-20T09:05,0.5,5.6,31.112,0.3,20.06,1.9,8.97,30.93,1.29,,15420,9600,5820,6.41,5.98,0.43,Klaus Treutner
1976-01-23T09:05,0.5,5.2,30.625,0.4,29.07,2.27,13.68,45.02,1.51,,220670,17560,203110,22.35,13.13,9.23,Klaus Treutner
1976-01-26T09:00,0.5,4.6,30.309,0.5,23.49,1.96,7.84,33.29,0.99,,113760,13080,100680,6.78,4.63,2.15,Klaus Treutner
1976-01-27T09:00,0.5,4.3,30.403,0.6,26.5,1.46,9.77,37.73,0.97,,213200,12440,200760,14.81,5.7,9.11,Klaus Treutner
1976-01-28T08:50,0.5,4.3,30.786,1,22.36,1.58,11.71,35.65,0.92,,114000,13560,100440,4.11,2.01,2.1,Klaus Treutner
1976-01-29T08:55,0.5,4.3,31.338,0.8,18.75,1.96,6.9,27.61,1,,161600,10840,150760,11.63,3.45,8.17,Klaus Treutner
1976-01-30T08:55,0.5,4,31.465,0.7,17.29,2.1,6.79,26.18,1.05,,163600,12720,150880,10.26,4.57,5.68,Klaus Treutner
1976-02-02T09:30,0.5,3.6,31.763,0.3,23.35,1.26,9.09,33.7,1.15,,166560,15120,151440,14.75,8.95,5.8,Klaus Treutner
1976-02-03T09:25,0.5,3.5,31.611,0.5,24.83,1.38,5.43,31.64,1.23,,411080,9800,401280,20.87,5.14,15.72,Klaus Treutner
1976-02-04T09:50,0.5,3.5,31.774,0.6,25.94,1.35,10.11,37.4,1.39,,256800,6120,250680,10.71,3.01,7.7,Klaus Treutner
1976-02-05T09:05,0.5,3,30.954,0.7,28.01,1.68,11.59,41.28,1.72,,357320,6520,350800,17.68,3.01,14.67,Klaus Treutner
1976-02-06T08:45,0.5,3,31.543,1.1,16.35,1.58,9.04,26.97,1.02,,306680,5520,301160,10.66,0.98,9.68,Klaus Treutner
1976-02-09T09:00,0.5,4.1,32.513,1,14.99,1.45,7.33,23.77,0.96,,260640,9240,251400,12.47,1.84,10.63,Klaus Treutner
1976-02-10T09:00,0.5,3.8,32.505,1,13.55,1.39,7.26,22.2,0.93,,156960,6280,150680,6.96,3.82,3.14,Klaus Treutner
1976-02-11T09:00,0.5,3.5,32.325,1.1,13.76,1.42,10.4,25.58,1.03,,260520,9680,250840,15.16,2.49,12.67,Klaus Treutner
1976-02-12T08:45,0.5,3.6,32.168,0.9,15.77,1.39,7.73,24.89,1.06,,308840,7680,301160,15.8,4.53,11.28,Klaus Treutner
1976-02-13T08:50,0.5,3.5,32.198,1,15.13,1.3,6.66,23.09,1.2,,159440,8320,151120,10.8,5.1,5.7,Klaus Treutner
1976-02-16T09:00,0.5,2.7,31.27,1.2,22.58,1.33,11.12,35.03,1.11,,153480,2960,150520,9.51,1.42,8.09,Klaus Treutner
1976-02-17T09:15,0.5,2.6,30.879,1,24.52,1.33,9.02,34.87,1.16,,106400,5680,100720,3.58,1.43,2.15,Klaus Treutner
1976-02-18T09:10,0.5,2.4,31.552,1,22.95,1.34,8.84,33.13,0.96,,209240,8240,201000,11.02,1.83,9.19,Klaus Treutner
1976-02-19T09:00,0.5,3.2,32.453,1.1,15.87,1.23,4.84,21.94,0.99,,207600,6040,201560,6.85,2.3,4.54,Klaus Treutner
1976-02-20T08:55,0.5,3.5,32.642,1.5,15.03,1.42,7.39,23.84,0.97,,157480,6960,150520,9.6,3.88,5.73,Klaus Treutner
1976-02-23T09:00,0.5,3.2,32.057,1.5,17.63,1.37,,,1.03,,307400,6840,300560,18.13,1.72,16.41,Klaus Treutner
1976-02-24T08:40,0.5,3.5,31.985,1.5,14.79,1.29,7.43,23.51,0.94,,355800,4960,350840,13.67,1.52,12.15,Klaus Treutner
1976-02-25T08:50,0.5,3.8,32.605,1.4,13.75,1.37,8.98,24.1,1,,208960,8640,200320,9.58,3.02,6.55,Klaus Treutner
1976-02-26T07:40,0.5,3.7,32.577,1,,1.23,9.48,,1.25,,263560,12320,251240,14,6.29,7.71,Klaus Treutner
1976-02-27T08:35,0.5,3.7,32.593,1,,1.08,6.07,,0.87,,207880,6960,200920,10.67,4.01,6.67,Klaus Treutner
1976-03-01T08:45,0.5,3.9,32.555,0.9,6.08,1.01,6.07,13.16,1.07,,305760,4760,301000,21.15,7.29,13.86,Klaus Treutner
1976-03-02T08:40,0.5,3.8,32.755,0.5,18.48,0.92,5.44,24.84,1,,210240,9440,200800,16.17,7.03,9.14,Klaus Treutner
1976-03-03T09:05,0.5,3.5,31.953,0.7,10.52,0.86,6.76,18.14,1.03,,308840,7760,301080,17.81,6.28,11.52,Klaus Treutner
1976-03-04T08:40,0.5,3.3,30.758,1.1,25.07,1.04,10.74,36.85,1.11,,262840,11760,251080,11.48,3.72,7.76,Klaus Treutner
1976-03-05T09:10,0.5,3.2,31.98,1.1,17.71,1.03,6.89,25.63,0.94,,358080,7240,350840,17.32,2.61,14.7,Klaus Treutner
1976-03-08T09:00,0.5,3.2,32.322,1.3,13.87,0.98,12.87,27.72,0.88,,315040,14280,300760,14.76,3.35,11.41,Klaus Treutner
1976-03-09T08:30,0.5,2.7,30.882,1.5,25.36,1.05,10.65,37.06,1.05,,361930,61370,300560,16.49,2.87,13.62,Klaus Treutner
1976-03-10T09:00,0.5,2.6,29.054,1.2,30.64,1.09,9.03,40.76,1.14,,271110,20670,250440,12.74,5.14,7.6,Klaus Treutner
1976-03-11T08:40,0.5,2.5,29.325,1.5,25.03,1.1,8.49,34.62,1.16,,166840,16680,150160,10.78,5.23,5.55,Klaus Treutner
1976-03-12T08:45,0.5,2.4,29.605,1.5,23.96,1.09,12.1,37.15,1.13,,305630,105070,200560,12.74,6.07,6.67,Klaus Treutner
1976-03-15T08:45,0.5,3.2,32.997,1.8,12.42,0.86,7.1,20.38,0.79,,166920,16200,150720,10.56,4.88,5.68,Klaus Treutner
1976-03-16T08:25,0.5,3,32.879,1.2,14.22,0.6,5.92,20.74,0.98,,160520,9960,150560,7.23,1.62,5.61,Klaus Treutner
1976-03-17T08:30,0.5,2.7,32.879,1.3,13.02,0.64,8.12,21.78,0.92,,273560,22680,250880,12.14,4.46,7.68,Klaus Treutner
1976-03-18T09:15,0.5,2.8,33.017,2,8.03,0.6,4.32,12.95,0.91,,165840,15040,150800,8.3,2.64,5.66,Klaus Treutner
1976-03-19T09:10,0.5,2.8,33.113,2,14.89,0.94,6.22,22.05,0.97,,212840,11840,201000,5.96,1.78,4.18,Klaus Treutner
1976-03-22T09:20,0.5,2.5,32.318,2.1,19.48,0.95,9.11,29.54,1,,305220,54380,250840,14.47,4.32,10.15,Klaus Treutner
1976-03-23T08:45,0.5,2.5,32.288,2,21.73,0.91,8.04,30.68,1.02,,229830,78670,151160,8.52,2.78,5.74,Klaus Treutner
1976-03-24T09:00,0.5,2.5,31.148,2,17.02,0.98,11.38,29.38,1.23,,267400,66920,200480,11.84,5.19,6.64,Klaus Treutner
1976-03-25T08:30,0.5,3.1,32.379,2.1,15.62,0.84,8.19,24.65,1.06,,317840,66960,250880,13.13,2.95,10.18,Klaus Treutner
1976-03-26T08:50,0.5,3.4,33.01,1.8,9.41,0.87,5.6,15.88,0.96,,309850,59090,250760,12.4,2.24,10.16,Klaus Treutner
