Date,Temp,Sal,Depth,Nitrate,Nitrite,Ammonium,DIN,Phosphate,Silicate,Phytopl,Diatoms,Flag,Phytopl_C,Diatom_C,Flag_C,Analyst
1988-01-04T08:05,7.6,32.759,1.2,33.88,5.28,2.13,41.29,0.68,17.4,670120,6560,663560,19.32,1.73,17.59,Klaus Treutner
1988-01-05T08:15,7.5,32.311,1.8,29.76,4.35,2.56,36.67,0.87,22,942840,3360,939480,24.05,0.77,23.28,Klaus Treutner
1988-01-06T08:35,7.3,31.948,1.8,31.31,4.08,2.21,37.6,0.86,26,1029760,6000,1023760,30.59,1.4,29.19,Klaus Treutner
1988-01-07T08:00,7.2,32.111,1.3,20.6,4.22,2.9,27.72,0.94,27.2,985880,6240,979640,25.41,1.31,24.09,Klaus Treutner
1988-01-08T08:30,7.2,32.176,1.3,24.44,3.92,1.96,30.32,0.88,26,894960,4480,890480,19.07,1.22,17.85,Klaus Treutner
1988-01-11T08:25,7.2,32.262,2.1,24.6,4.6,2.74,31.94,0.82,24,1013600,4000,1009600,27.53,0.8,26.73,Klaus Treutner
1988-01-12T08:20,7,32.239,1.5,23.17,4.41,2.28,29.86,0.82,21.2,1168720,4960,1163760,28.23,1.25,26.99,Klaus Treutner
1988-01-13T08:35,6.6,32.216,1.3,20.8,3.94,2.66,27.4,0.87,18.4,973400,3920,969480,26.07,0.7,25.38,Klaus Treutner
1988-01-14T08:15,6.5,32.251,1.6,19.55,3.84,1.69,25.08,0.84,23.2,714040,4560,709480,21.11,0.93,20.18,Klaus Treutner
1988-01-15T08:25,6.1,32.362,3,18.34,4.87,2.68,25.89,0.82,22.4,1269640,5920,1263720,30.89,1.1,29.79,Klaus Treutner
1988-01-18T08:35,6.7,32.429,3,22.77,4.64,2.31,29.72,0.76,22.2,1014400,4720,1009680,27.68,0.94,26.74,Klaus Treutner
1988-01-19T08:05,6.6,32.461,2.4,23.44,2.97,2.57,28.97,0.8,22,1288480,4880,1283600,31.63,1.14,30.49,Klaus Treutner
1988-01-20T08:35,6.4,32.471,3,17.34,4.03,2.14,23.51,0.7,20.4,991720,1320,990400,27.44,0.6,26.84,Klaus Treutner
1988-01-21T08:00,6.5,32.522,3.1,17.83,3.8,2.5,24.13,0.77,21.6,943200,3840,939360,23.97,0.59,23.37,Klaus Treutner
1988-01-22T09:00,6.3,32.585,3.1,19.69,3.39,2.3,25.38,0.8,22,966320,2960,963360,23.59,0.65,22.95,Klaus Treutner
1988-01-25T08:30,6.3,32.587,3,18.19,2.79,3.25,24.23,0.85,22,555960,3600,552360,15.48,0.68,14.8,Klaus Treutner
1988-01-26T07:55,6.3,32.575,3.1,22.52,2.45,2.91,27.88,0.78,20.8,1404200,4080,1400120,39.62,1.1,38.51,Klaus Treutner
1988-01-27T08:30,6.3,32.628,3.5,15.74,2.28,2.17,20.19,0.74,22.8,873400,2800,870600,25.1,0.64,24.46,Klaus Treutner
1988-01-28T08:35,6.3,32.619,4,25.89,2.27,2.2,30.36,0.83,20.4,1283400,3600,1279800,31.19,1.08,30.11,Klaus Treutner
1988-01-29T08:55,6.4,32.58,3.2,36.74,2.11,3.3,42.15,0.72,22,1011960,2720,1009240,27.11,0.95,26.15,Klaus Treutner
1988-02-01T06:30,6.2,32.477,3.1,34.38,1.57,3.21,39.16,0.78,28.8,1107080,6480,1100600,23.88,1.82,22.06,Klaus Treutner
