Date ,Latitude,Longitude,Depth_water,Location ,Analyst,Depth,QF_SD,Temp,QF_water_temp,Temp_digital,QF_water_temp_2,Sal  ,QF_sal,Silicate,QF_Silicate,Phosphate,QF_phosphate,Nitrite,QF_Nitrite,Nitrate,Ni_Ni,QF_Ni_Ni,Ammonium,QF_Ammonium,DIN  ,pH  ,QF_pH,O2  ,QF_O2
2022-01-03T08:34:00,54.184167,7.9,0,HR,Kristine Carstens,3.6,1,8.1,1,8,1,33.53,1,6.8,1,0.39,1,2.56,1,5.53,8.08,1,0.21,1,8.29,8.07,1,9.1,1
2022-01-04T07:43:00,54.184167,7.9,0,HR,Kristine Carstens,1.8,1,7.9,1,7.8,1,33.45,1,7.1,1,0.63,1,2.54,1,5.25,7.79,1,0.33,1,8.12,8.08,1,9.07,1
2022-01-05T08:41:00,54.184167,7.9,0,HR,Kristine Carstens,1,1,7.6,1,7.6,1,33.43,1,5.64,1,1.17,2,2.48,1,4.9,7.38,1,0.33,1,7.72,8.11,1,9.42,1
2022-01-06T07:47:00,54.184167,7.9,0,HR,Kristine Carstens,1.2,1,7.3,1,7.3,1,33.42,1,6.94,1,0.49,2,2.42,1,5.29,7.71,1,0.49,1,8.2,8.09,1,9.42,1
2022-01-07T08:28:00,54.184167,7.9,0,HR,Kristine Carstens,1.7,1,7.1,1,7.1,1,33.25,1,6.78,1,0.75,2,2.31,1,4.91,7.22,1,0.92,1,8.14,8.12,1,9.53,1
2022-01-10T08:15:00,54.184167,7.9,0,HR,Kristine Carstens,2.5,1,7.2,1,7.1,1,33.35,1,7.49,1,0.42,1,2.58,1,5.53,8.11,1,0.46,1,8.57,8.08,1,9.38,1
2022-01-11T07:48:00,54.184167,7.9,0,HR,Kristine Carstens,3,1,6.9,1,7,1,33.3,1,7.48,1,0.63,1,2.6,1,5.88,8.48,1,0.94,1,9.42,8.12,1,9.7,1
2022-01-12T08:35:00,54.184167,7.9,0,HR,Kristine Carstens,3.5,1,6.9,1,7,1,33.34,1,6.7,1,0.61,1,2.57,1,6.06,8.63,1,0.9,1,9.53,8.09,1,9.63,1
2022-01-13T07:54:00,54.184167,7.9,0,HR,Kristine Carstens,3.2,1,6.9,1,7.6,1,33.3,1,7.88,1,0.49,1,2.49,1,6.23,8.72,1,0.87,1,9.59,8.1,1,9.71,1
2022-01-14T08:25:00,54.184167,7.9,0,HR,Kristine Carstens,2.5,1,7,1,7,1,33.35,1,7.33,1,0.55,1,2.4,1,6.56,8.95,1,0.53,1,9.48,8.1,1,9.55,1
2022-01-17T07:44:00,54.184167,7.9,0,HR,Kristine Carstens,0.4,1,6.9,1,6.9,1,33.26,1,8.19,1,0.81,1,2.47,1,5.7,8.17,1,0.79,1,8.96,7.99,2,9.15,1
2022-01-18T07:49:00,54.184167,7.9,0,HR,Kristine Carstens,1.2,1,6.6,1,6.6,1,32.64,1,11.23,1,0.59,1,2.15,1,9.45,11.6,1,0.09,1,11.69,8.09,1,9.71,1
2022-01-19T08:17:00,54.184167,7.9,0,HR,Kristine Carstens,1.5,1,6.5,1,6.5,1,32.6,1,11.42,1,0.54,1,2.28,1,9.73,12.01,1,0.32,1,12.32,8.07,1,9.62,1
2022-01-20T08:45:00,54.18404,7.89147,0,J,Kristine Carstens,,,5.8,1,,,32.59,1,12.16,1,0.61,1,1.93,1,10.01,11.94,1,0.47,1,12.41,8.09,1,9.84,1
2022-01-21T08:20:00,54.184167,7.9,0,HR,Kristine Carstens,0.8,1,5.8,1,6.1,1,32.4,1,10.32,1,0.63,1,2.01,1,10.9,12.91,1,0.99,1,13.89,8.11,1,9.85,1
2022-01-24T08:40:00,54.184167,7.9,0,HR,Kristine Carstens,1.5,1,6.2,1,6.1,1,32.28,1,13.68,1,0.75,1,2.05,1,10.63,12.67,1,1.29,1,13.96,8.1,1,9.87,1
2022-01-25T07:58:00,54.184167,7.9,0,HR,Kristine Carstens,2,1,6.3,1,6.3,1,32.47,1,12.37,1,0.7,1,2.13,1,10.75,12.88,1,0.65,1,13.54,8.08,1,9.69,1
2022-01-26T09:00:00,54.184167,7.9,0,HR,Kristine Carstens,1.8,1,6.2,1,6.2,1,32.47,1,12.69,1,0.58,1,2.26,1,9.06,11.32,1,0.6,1,11.92,8.1,1,9.92,1
2022-01-27T07:40:00,54.184167,7.9,0,HR,Kristine Carstens,1,1,6.2,1,6.3,1,32.24,1,12.7,1,0.6,1,2,1,12.35,14.35,1,1.13,1,22.9,8.06,1,9.67,1
2022-01-28T07:00:00,54.184167,7.9,0,HR,Kristine Carstens,0.5,1,5.8,1,5.9,1,32.11,1,13.13,2,0.62,2,1.87,2,13.14,15.01,2,1.31,1,16.32,8.1,1,10,1
2022-01-31T08:25:00,54.184167,7.9,0,HR,Kristine Carstens,0.5,1,4.7,1,4.8,1,27.68,2,32.35,2,2.41,3,0.7,3,31.93,32.63,2,2.41,1,35.03,8.01,2,9.89,1
2022-02-01T07:44:00,54.184167,7.9,0,HR,Kristine Carstens,1.6,1,5.3,1,5.3,1,29.82,1,25.05,2,1.14,1,1.37,2,25.26,26.63,2,1.83,1,28.46,8.05,1,10.03,1
2022-02-02T08:10:00,54.18404,7.89147,0,J,Kristine Carstens,,,5.5,1,5.5,1,30.78,1,19.3,1,1.01,1,1.47,1,21.38,22.85,1,1.57,1,24.42,8.05,1,10.12,1
2022-02-03T07:42:00,54.184167,7.9,0,HR,Kristine Carstens,0.5,1,5.5,1,5.5,1,30.5,1,22.16,1,0.84,1,1.37,1,22.83,24.21,1,1.61,1,25.81,8,2,9.78,1
2022-02-04T08:10:00,54.184167,7.9,0,HR,Kristine Carstens,0.5,1,5.6,1,5.6,1,30.84,1,17.54,1,0.76,1,1.47,1,19.73,21.21,2,1.51,1,22.72,8.04,1,9.74,1
2022-02-07T08:35:00,54.184167,7.9,0,HR,Kristine Carstens,0.4,1,5.4,1,5.4,1,30.85,1,20.21,2,1.05,1,1.25,1,25.26,26.51,1,1.74,1,28.25,8.03,1,10.22,1
2022-02-08T07:44:00,54.184167,7.9,0,HR,Kristine Carstens,1,1,5.5,1,5.5,1,30.53,1,23.2,1,1.24,1,1.21,1,27.18,28.39,1,2.08,1,30.47,8.06,1,7.96,4
2022-02-09T08:41:00,54.184167,7.9,0,HR,Kristine Carstens,1.1,1,5.6,1,5.5,1,30.43,1,22.28,1,1.28,1,1.22,1,25.89,27.1,1,2.06,1,29.17,8.03,1,9.34,1
2022-02-10T07:41:00,54.184167,7.9,0,HR,Kristine Carstens,1.3,1,5.4,1,5.5,1,30.49,1,22.42,1,1.09,1,1.14,1,26.41,27.56,1,1.7,1,29.25,8.06,1,9.3,1
2022-02-11T08:10:00,54.184167,7.9,0,HR,Kristine Carstens,1.3,1,5.4,1,5.4,1,30.47,1,20.52,1,1.1,1,1.18,1,28.59,29.77,1,1.65,1,31.42,8.08,1,10.32,1
2022-02-14T08:15:00,54.184167,7.9,0,HR,Kristine Carstens,1,1,5.3,1,5.3,1,30.5,1,24.85,2,1.06,1,1.13,1,28.19,29.32,1,1.37,1,30.69,8.05,1,10.08,1
