/* DATA DESCRIPTION:
Citation:	Gerdts, Gunnar (2010): Bacteria at time series station Helgoland Roads, North Sea, in 1972 [dataset]. Alfred Wegener Institute - Biological Institute Helgoland, PANGAEA, https://doi.org/10.1594/PANGAEA.743155, 
	In: Gerdts, Gunnar (2024): Bacteria at time series station Helgoland Roads, North Sea from 1962 to 2002 [dataset publication series]. Alfred Wegener Institute - Biological Institute Helgoland, PANGAEA, https://doi.org/10.1594/PANGAEA.959956
Project(s):	Macrobenthic long-term series in the German Bight (LTER_Benthos) (URI: https://www.awi.de/en/science/long-term-observations/biology/north-sea.html)
	Shelf Seas Systems Ecology @ AWI (former Biologische Anstalt Helgoland) (BAH) (URI: https://www.awi.de/en/science/biosciences/shelf-sea-system-ecology.html)
Coverage:	LATITUDE: 54.188330 * LONGITUDE: 7.900000
	DATE/TIME START: 1972-01-20T10:50:00 * DATE/TIME END: 1972-12-20T09:35:00
	MINIMUM DEPTH, water: 1 m * MAXIMUM DEPTH, water: 1 m
Event(s):	HelgolandRoads1972 (Kabeltonne) * LATITUDE: 54.188330 * LONGITUDE: 7.900000 * DATE/TIME START: 1972-01-01T00:00:00 * DATE/TIME END: 1972-12-31T23:59:00 * ELEVATION: -10.0 m * DEIMS ID: https://deims.org/1e96ef9b-0915-4661-849f-b3a72f5aa9b1 * O2A Registry URI: https://registry.o2a-data.de/items/8674 * LOCATION: German Bight, North Sea * CAMPAIGN: LTER_HelgolandRoads (Kabeltonne, Long-term Ecological Research Helgoland Roads) * BASIS: Marine Station Helgoland (URI: https://www.awi.de/en/about-us/sites/helgoland.html) * METHOD/DEVICE: Monitoring (MON)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	DEPTH, water [m] (Depth water) * GEOCODE
	Temperature, water [°C] (Temp) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Mercury thermometer, in situ
	Salinity (Sal) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Salinometer, inductive * COMMENT: PSU
	Bacteria, marine, cultivable [#/ml] (Bact mar culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Plate counts
	Bacteria, freshwater, cultivable [#/ml] (Bact fw culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Plate counts
	Oxygen [µmol/l] (O2) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Oxygen, Winkler (Culberson, 1991, WOCE Report 68/91)
	Biological oxygen demand [µmol/l] (BOD) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Oxygen, Winkler (Culberson, 1991, WOCE Report 68/91) * COMMENT: 14 days; with nutrient addition
	Biological oxygen demand [µmol/l] (BOD) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Oxygen, Winkler (Culberson, 1991, WOCE Report 68/91) * COMMENT: 14 days; without nutrient addition
	Surface tension [dyn/cm**2] (Surf tens) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * COMMENT: Neuston
	Surface tension [dyn/cm**2] (Surf tens) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	332 data points
*/
Date/Time	Depth water [m]	Temp [°C] (Mercury thermometer, in situ)	Sal (PSU, Salinometer, inductive)	Bact mar culti [#/ml] (Plate counts)	Bact fw culti [#/ml] (Plate counts)	O2 [µmol/l] (Oxygen, Winkler (Culberson, 1...)	BOD [µmol/l] (14 days; with nutrient additi...)	BOD [µmol/l] (14 days; without nutrient add...)	Surf tens [dyn/cm**2] (Neuston)	Surf tens [dyn/cm**2]
1972-01-20T10:50	1	4.5	33.80	251	43					
1972-01-26T10:25	1	4.1	33.90	320	32	306.2	89.3	156.31		
1972-02-02T11:00	1	2.3	34.00	792	36	318.8	107.2	285.82		
1972-02-09T09:15	1	2.9	34.10	322	36	321.9	129.5	174.17		
1972-02-16T09:45	1	2.7	34.10	1240	123	328.1	125.0	169.71		
1972-03-03T08:55	1	2.7	33.90	346	126					
1972-03-08T09:00	1	3.0	34.10	668	50					
1972-03-15T08:50	1	3.0	34.20	197	25	331.2	142.9	133.98		
1972-03-22T08:45	1	3.5	34.10	952	118	334.4	125.0	156.31		
1972-03-29T09:45	1	4.0	33.80	2900	770					
1972-04-01T09:00	1	5.2	32.90	169	65	315.6	294.8	317.09	11.00	
1972-04-04T08:00	1	4.5				309.4	165.2	285.82	13.70	
1972-04-14T08:50	1	4.9				325.0	335.0	339.42	12.60	
1972-04-26T09:30	1	5.9	32.30	1310	63	315.6	227.8	250.10	7.80	
1972-05-03T09:30	1	6.7	32.80	2010	148	318.8	102.7	93.79	6.60	0.80
1972-05-17T09:00	1	8.5	31.60	780	44	303.1	120.6	116.12		
1972-05-26T09:05	1	9.3	32.90	930	41	300.0	102.7	187.57	16.00	10.70
1972-05-31T08:50	1	9.7	32.70	880	44	290.6	308.2	303.69	5.00	0.20
1972-06-07T08:40	1	10.9	32.90	470	22	287.5	75.9	84.85		
1972-06-19T09:35	1	12.9	33.10	281	12	259.4	17.9	22.33	16.30	0.40
1972-06-28T09:20	1	13.9	33.10	134	10	240.6	49.1	84.85	4.20	5.30
1972-07-01T09:00	1	17.6	30.30	1700	20	246.9	147.4	263.49	15.00	3.40
1972-07-05T08:55	1	14.1	32.80	6500	33				9.10	3.30
1972-07-12T08:50	1	14.7		13900	14	243.8	89.3	174.17	6.50	0.30
1972-07-26T09:25	1	16.2				253.1	160.8	178.64	21.90	-0.10
1972-08-02T08:50	1	17.2	32.30	1030	34	259.4	125.0	142.91	14.70	-0.40
1972-08-09T09:00	1	17.2							5.70	-0.40
1972-08-16T09:00	1	16.8							8.90	0.30
1972-08-23T09:15	1	16.5							10.60	0.40
1972-08-30T09:00	1	16.8	32.10	3330	84	293.8	142.9	133.98	16.90	0.70
1972-09-06T09:00	1	16.6	31.60	1360	155	265.6	120.6	147.38	1.70	0.30
1972-09-13T09:00	1	15.9	32.40	2060	177	228.1	75.9	187.57	6.60	0.40
1972-09-17T09:00	1	14.8	32.70	760	18	231.2	75.9	169.71	7.90	0.40
1972-09-20T08:50	1	15.1	31.80	1020	156	215.6	58.1	165.24	7.30	1.60
1972-10-04T08:45	1	14.1	32.60	500	32	231.2	49.1	133.98	5.40	0.40
1972-10-11T08:40	1	13.8	33.10	730	39	221.9	26.8	129.51	13.50	0.20
1972-10-19T09:00	1	12.3	31.90	1790	98	256.2	53.6	165.24	0.50	0.40
1972-10-25T08:50	1	12.1	32.60	2550	169	256.2	67.0	196.50	8.40	0.30
1972-11-08T08:50	1	11.9	32.90	4000	182	259.4	71.5	200.97		
1972-11-15T09:25	1	10.4	32.50	870	180	268.8	67.0	200.97	0.90	0.30
1972-11-23T09:00	1	9.3	32.50	1580	102	281.2	89.3	147.38	13.80	2.80
1972-11-29T09:10	1	8.6	32.70	960	72	281.2	62.5	214.37	0.40	0.00
1972-12-06T08:50	1	8.5	33.80	730	16	293.8	49.1	218.83	15.80	0.10
1972-12-13T09:30	1	7.6	33.70	530	46	306.2	71.5	165.24	20.00	2.50
1972-12-20T09:35	1	7.1	33.40	1070	147	309.4	62.5	125.05	5.50	-0.70
