/* DATA DESCRIPTION:
Citation:	Gerdts, Gunnar (2010): Bacteria at time series station Helgoland Roads, North Sea, in 1994 [dataset]. Alfred Wegener Institute - Biological Institute Helgoland, PANGAEA, https://doi.org/10.1594/PANGAEA.743176, 
	In: Gerdts, Gunnar (2024): Bacteria at time series station Helgoland Roads, North Sea from 1962 to 2002 [dataset publication series]. Alfred Wegener Institute - Biological Institute Helgoland, PANGAEA, https://doi.org/10.1594/PANGAEA.959956
Project(s):	Macrobenthic long-term series in the German Bight (LTER_Benthos) (URI: https://www.awi.de/en/science/long-term-observations/biology/north-sea.html)
	Shelf Seas Systems Ecology @ AWI (former Biologische Anstalt Helgoland) (BAH) (URI: https://www.awi.de/en/science/biosciences/shelf-sea-system-ecology.html)
Coverage:	LATITUDE: 54.188330 * LONGITUDE: 7.900000
	DATE/TIME START: 1994-01-04T08:40:00 * DATE/TIME END: 1994-12-28T08:40:00
	MINIMUM DEPTH, water: 1 m * MAXIMUM DEPTH, water: 1 m
Event(s):	HelgolandRoads1994 (Kabeltonne) * LATITUDE: 54.188330 * LONGITUDE: 7.900000 * DATE/TIME START: 1994-01-01T00:00:00 * DATE/TIME END: 1994-12-31T23:59:00 * ELEVATION: -10.0 m * DEIMS ID: https://deims.org/1e96ef9b-0915-4661-849f-b3a72f5aa9b1 * O2A Registry URI: https://registry.o2a-data.de/items/8674 * LOCATION: German Bight, North Sea * CAMPAIGN: LTER_HelgolandRoads (Kabeltonne, Long-term Ecological Research Helgoland Roads) * BASIS: Marine Station Helgoland (URI: https://www.awi.de/en/about-us/sites/helgoland.html) * METHOD/DEVICE: Monitoring (MON)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	DEPTH, water [m] (Depth water) * GEOCODE
	Temperature, water [°C] (Temp) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Mercury thermometer, in situ
	Salinity (Sal) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Salinometer, inductive * COMMENT: PSU
	Bacteria [#/ml] (Bact) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Acridine Orange Direct Counting (AODC) (URI: https://en.wikipedia.org/wiki/Acridine_orange)
	Flagellates [#/l] (Flag) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Acridine Orange Direct Counting (AODC) (URI: https://en.wikipedia.org/wiki/Acridine_orange)
	Bacteria, marine, cultivable [#/ml] (Bact mar culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Plate counts
	Bacteria, marine, cultivable [#/ml] (Bact mar culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Plate counts * COMMENT: Neuston
	Bacteria, freshwater, cultivable [#/ml] (Bact fw culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Plate counts * COMMENT: Neuston
	Bacteria, marine, cultivable [#/ml] (Bact mar culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Surface inoculation * COMMENT: full medium 2216E
	Bacteria, marine, cultivable [#/ml] (Bact mar culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Surface inoculation * COMMENT: 1/10 2216E
	Bacteria, freshwater, cultivable [#/ml] (Bact fw culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Surface inoculation * COMMENT: full medium 2216E
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	415 data points
*/
Date/Time	Depth water [m]	Temp [°C] (Mercury thermometer, in situ)	Sal (PSU, Salinometer, inductive)	Bact [#/ml] (Acridine Orange Direct Counti...)	Flag [#/l] (Acridine Orange Direct Counti...)	Bact mar culti [#/ml] (Plate counts)	Bact mar culti [#/ml] (Neuston, Plate counts)	Bact fw culti [#/ml] (Neuston, Plate counts)	Bact mar culti [#/ml] (full medium 2216E, Surface in...)	Bact mar culti [#/ml] (1/10 2216E, Surface inoculation)	Bact fw culti [#/ml] (full medium 2216E, Surface in...)
1994-01-04T08:40	1	5.1	33.24	189552	697	241	18	241	867	18	9
1994-01-11T09:00	1	4.9	33.15	245174	478	7993	724	7993	9892	724	1868
1994-01-18T08:25	1	4.8	32.72	238607	796	36	27	36	536	27	1144
1994-01-25T09:15	1	4.8	31.78	184080	318	965	80	965	1698	80	98
1994-02-02T08:50	1	4.5	29.74	293533	876	5800	152	5800	9642	152	241
1994-02-09T08:35	1	4.4	31.79	269851	398	2502	9	2502	6378	9	62
1994-02-16T08:25	1	3.1	32.57	343682	955	5018	447	5018	7634	447	554
1994-02-23T08:20	1	2.5	32.79	102488	637	1290	54	1290	5305	54	4122
1994-03-02T08:40	1	3.1	33.15	168358	318	1108	27	1108	2145	27	71
1994-03-09T08:10	1	4.1	33.44	167562	478	1609	9	1609	813	9	45
1994-03-16T08:20	1	4.4	32.19	190249	478	769	63	769	5416	63	125
1994-03-23T08:30	1	4.3	30.57	250150	716	4839	250	4839	10072	250	375
1994-03-30T06:15	1	4.7	31.55	375324	1035	5161		5161	10860		107
1994-04-06T07:05	1	4.7	32.29	407712	995	1618		1618	3799		54
1994-04-13T06:50	1	5.9	31.04	414180	796	3172	116	3172	259	116	161
1994-04-20T07:20	1	6.6	28.90	164511	399						
1994-05-04T06:10	1	8.8	29.78	327695	1459						
1994-05-11T06:45	1	9.3	31.62	985076	1592		11501		188525	11501	563
1994-05-18T06:25	1	9.9	32.90	1472639	2388	18981	161	18981	134960	161	0
1994-05-25T05:30	1	9.6	33.35	604976	3184	1358	9	1358	5591	9	16
1994-06-01T07:05	1	10.8	32.36	2105475	7164	1290	45	1290	16057	45	36
1994-06-08T05:20	1	12.1	32.12	1733336	5572	1725	18	1725	846	18	0
1994-06-15T05:55	1	12.9	31.11	1184081	5572	2583	0	2583	170	0	0
1994-06-22T05:50	1	13.5	31.64	1530350	5572	974	36	974	563	36	0
1994-06-29T05:45	1	15.9	30.13	650747	4776	877	0	877	351	0	8
1994-07-06T05:20	1	16.0	30.45	883583	2388	795	9	795	241	9	0
1994-07-13T05:25	1	16.9	31.56	1237813	5572	447	9	447	160526	9	0
1994-07-20T05:25	1	16.9	31.91	1828858	7960	24579	0	24579	30976	0	0
1994-07-27T05:35	1	17.3	32.08	1207962	3980	268	0	268	6129	0	0
1994-08-03T05:20	1	18.6	32.75	1458708	6368	1725	9	1725	3539	9	0
1994-08-10T06:00	1	18.7	32.02	3657716	2388	384	0	384	1233	0	0
1994-08-17T05:30	1	17.7	32.21	1900500	2388	1180	9	1180	1439	9	0
1994-08-24T05:25	1	18.1	31.57	2419904	1592	1332	9	1332	63	9	161
1994-08-31T05:20	1	17.3	31.33	2451744	3184	876	9	876	2495	9	9
1994-09-07T05:50	1	16.9	32.07	1746256	3184	402	18	402	80	18	0
1994-09-14T06:15	1	16.6	32.25	1064678	3980	1113	0	1113	871	0	18
1994-09-21T06:25	1	15.5	32.47	1154230	3184	6523	0	6523	4875	0	0
1994-09-28T06:55	1	15.4	32.71	1337315	2388		61632			61632	39410
1994-10-05T07:45	1	13.7	32.31	855723	796						
1994-10-12T07:40	1	14.3	32.63	423881	2388						
1994-10-19T07:00	1	11.9	31.63	753235	1990						
1994-10-26T07:35	1	12.5	33.33	1412937	398						
1994-12-08T08:05	1	9.2	32.99	800001	398	36	0	36	9	0	0
1994-12-13T08:20	1	9.2	32.86	867663	796	116	0	116	125	0	0
1994-12-21T07:55	1	8.2	32.84	752240	1061	116	0	116	152	0	18
1994-12-28T08:40	1	7.9	33.24	200995	265	286	36	286	304	36	18
