/* DATA DESCRIPTION:
Citation:	Gerdts, Gunnar (2010): Bacteria at time series station Helgoland Roads, North Sea, in 1996 [dataset]. Alfred Wegener Institute - Biological Institute Helgoland, PANGAEA, https://doi.org/10.1594/PANGAEA.743178, 
	In: Gerdts, Gunnar (2024): Bacteria at time series station Helgoland Roads, North Sea from 1962 to 2002 [dataset publication series]. Alfred Wegener Institute - Biological Institute Helgoland, PANGAEA, https://doi.org/10.1594/PANGAEA.959956
Project(s):	Macrobenthic long-term series in the German Bight (LTER_Benthos) (URI: https://www.awi.de/en/science/long-term-observations/biology/north-sea.html)
	Shelf Seas Systems Ecology @ AWI (former Biologische Anstalt Helgoland) (BAH) (URI: https://www.awi.de/en/science/biosciences/shelf-sea-system-ecology.html)
Coverage:	LATITUDE: 54.188330 * LONGITUDE: 7.900000
	DATE/TIME START: 1996-01-03T07:15:00 * DATE/TIME END: 1996-12-18T08:15:00
	MINIMUM DEPTH, water: 1 m * MAXIMUM DEPTH, water: 1 m
Event(s):	HelgolandRoads1996 (Kabeltonne) * LATITUDE: 54.188330 * LONGITUDE: 7.900000 * DATE/TIME START: 1996-01-01T00:00:00 * DATE/TIME END: 1996-12-31T23:59:00 * ELEVATION: -10.0 m * DEIMS ID: https://deims.org/1e96ef9b-0915-4661-849f-b3a72f5aa9b1 * O2A Registry URI: https://registry.o2a-data.de/items/8674 * LOCATION: German Bight, North Sea * CAMPAIGN: LTER_HelgolandRoads (Kabeltonne, Long-term Ecological Research Helgoland Roads) * BASIS: Marine Station Helgoland (URI: https://www.awi.de/en/about-us/sites/helgoland.html) * METHOD/DEVICE: Monitoring (MON)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	DEPTH, water [m] (Depth water) * GEOCODE
	Temperature, water [°C] (Temp) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Mercury thermometer, in situ
	Salinity (Sal) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Salinometer, inductive * COMMENT: PSU
	Bacteria [#/ml] (Bact) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Acridine Orange Direct Counting (AODC) (URI: https://en.wikipedia.org/wiki/Acridine_orange)
	Flagellates [#/l] (Flag) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Acridine Orange Direct Counting (AODC) (URI: https://en.wikipedia.org/wiki/Acridine_orange)
	Bacteria, marine, cultivable [#/ml] (Bact mar culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Surface inoculation * COMMENT: full medium 2216E
	Bacteria, marine, cultivable [#/ml] (Bact mar culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Surface inoculation * COMMENT: 1/10 2216E
	Bacteria, freshwater, cultivable [#/ml] (Bact fw culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Surface inoculation * COMMENT: full medium 2216E
	Bacteria, freshwater, cultivable [#/ml] (Bact fw culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Surface inoculation * COMMENT: 1/10 2216E
	Carbon, organic, total [mg/l] (TOC) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	383 data points
*/
Date/Time	Depth water [m]	Temp [°C] (Mercury thermometer, in situ)	Sal (PSU, Salinometer, inductive)	Bact [#/ml] (Acridine Orange Direct Counti...)	Flag [#/l] (Acridine Orange Direct Counti...)	Bact mar culti [#/ml] (full medium 2216E, Surface in...)	Bact mar culti [#/ml] (1/10 2216E, Surface inoculation)	Bact fw culti [#/ml] (full medium 2216E, Surface in...)	Bact fw culti [#/ml] (1/10 2216E, Surface inoculation)	TOC [mg/l]
1996-01-03T07:15	1	4.9	33.24	345075	478	54	152	0	0	-0.00
1996-01-10T07:20	1	5.2	33.65	191443	478	54	98	18	45	-0.00
1996-01-17T07:30	1	4.6	33.43	193433	637	0	54	0	0	-0.00
1996-01-31T06:50	1	1.9	33.67	243582	637	0	18	0	0	-0.00
1996-02-13T07:40	1	0.9	33.11	293732	955	134	349	36	0	
1996-02-21T07:55	1	0.0	33.26	436617	637	453	667	0	0	
1996-02-28T06:50	1	0.2	32.79	175125	1114	295	1037	0	0	-0.00
1996-03-06T06:40	1	0.8	33.05	215722	1592	188	804	45	18	-0.00
1996-03-13T07:25	1	0.5	32.87	172737	796	179	1090	0	9	
1996-03-20T06:30	1	0.8	33.22	448160	796	402	411	0	18	-0.00
1996-03-27T07:35	1	1.3	32.51	1283584	1061	1457	6738	18	89	0.00
1996-04-03T06:55	1	1.8	32.53	1179438	1592	13903	18459	0	9	0.00
1996-04-10T05:35	1	2.4	31.16	1205972	1592	48785	34896	71	449	0.00
1996-04-17T07:40	1	3.4	31.45	1657714	1592	13542	15104	54	27	
1996-04-24T07:20	1	4.6	31.39	1546271	3980	25000	21257	9	18	0.00
1996-04-30T07:05	1	6.2	31.04	2085575	3980	32292	21875	0	0	0.00
1996-05-08T05:45	1	7.2	30.61	1428858	3184	2359	29167	0	54	
1996-05-29T06:10	1	8.1	31.44	1918410	4776	29861	50174	9	18	0.01
1996-06-05T05:45	1	10.3	31.24	1436818	4776	2011	10938	27	0	0.00
1996-06-12T05:30	1	11.2	31.21	2067664	6368	1028	7204	0	0	0.01
1996-06-19T05:55	1	10.8	31.44	521394	1592	1296	12688	36	9	0.01
1996-06-26T05:20	1	13.0	30.30	1930351	17512	590	9088	0	9	0.01
1996-07-03T05:20	1	12.8	31.47	881593	3980	1117	5004	9	0	
1996-07-10T06:05	1	12.9	31.71	1116419	3184	983	13226	27	9	
1996-07-17T06:00	1	14.1	30.85	1715425	3980	2616	19713	89	27	0.01
1996-07-24T06:00	1	16.5	30.39	1084579	51741	1756	9068	107	27	0.01
1996-07-31T05:20	1	16.2	30.53	762190	1592					0.00
1996-08-07T05:15	1	16.1	31.05	1229852	1592					
1996-08-14T05:15	1	16.1	32.01	941295	796					
1996-08-21T05:20	1	17.8	31.84	803981	0					
1996-08-28T05:20	1	17.6	32.15	1659704	4776	1055	2154	0	9	0.01
1996-09-03T05:35	1	16.5	33.26	1080598	1592	733	1948	0	0	0.00
1996-09-11T05:20	1	16.3	32.64	1172141	3184	1867	7181	18	0	0.00
1996-09-18T05:25	1	15.8	31.63	646767	1592	1189	5305	206	581	0.00
1996-09-25T07:20	1	14.8	32.53	1209952	3980	286	679	9	0	0.00
1996-10-02T06:55	1	14.9	33.09	1188061	3980	349	1519	643	214	
1996-10-09T06:40	1	14.4	33.17	843782	3980	134	375	0	0	0.00
1996-10-16T06:05	1	14.3	33.37	827862	3184	107	313	27	18	0.00
1996-10-23T06:40	1	14.0	33.29	652737	2388	225	483	36	9	0.00
1996-10-30T07:50	1	12.8	33.61	610946	1592	304	956	0	0	0.00
1996-11-13T08:00	1	11.2	32.99	886568	1194	197	536	36	9	0.00
1996-11-20T08:05	1	9.9	33.08	689553	1194	188	599	0	0	-0.00
1996-11-27T07:50	1	8.3	33.03	632837	1194	393	885	0	0	
1996-12-04T07:50	1	8.1	33.10	423881	398	777	2020	27	45	
1996-12-11T06:50	1	7.5	33.50	321393	398	259	429	0	9	
1996-12-18T08:15	1	5.8	33.44	456385	531	393	2002	36	9	
